Ticker,Last Alert Date_x,Buy Price_x,Target_x,Call_x,Status_x,Buy Date,Buy Strat,Last Alert Date_y,ll,Buy Price_y,Target_y,Call_y,Status_y,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
EMAMIPAP.NS,2024-10-31,104.8,,Long,Open,2024-10-31,EW_DC,2024-10-31,99.0,104.8,,Long,Open,108.63,2024-11-01,172.41379310344837,,,India
ENERGYDEV.NS,2024-10-29,21.95,,Long,Open,2024-10-31,LR_DC,2024-10-29,19.82,21.95,,Long,Open,24.67,2024-11-01,469.4835680751176,,,India
ESABINDIA.NS,2024-10-23,6019.95,,Long,Open,2024-10-31,ATR_UC,2024-10-23,5925.6,6019.95,,Long,Open,6418.1,2024-11-01,10.598834128245954,,,India
ESHAMEDIA.BO,2024-10-25,13.5,,Long,Open,2024-10-31,LR_UC,2024-10-25,13.24,13.5,,Long,Open,14.6,2024-11-01,3846.15384615385,,,India
EUROTEXIND.NS,2024-10-25,10.18,,Long,Open,2024-10-31,BB_DC,2024-10-25,9.72,10.18,,Long,Open,10.0,2024-11-01,2173.913043478265,,,India
EVERESTIND.NS,2024-10-22,956.44,,Long,Open,2024-10-31,ATR_DC,2024-10-22,929.45,956.44,,Long,Open,1126.1,2024-11-01,37.05075954057057,,,India
FACORALL.BO,2024-10-31,5.89,,Long,Open,2024-10-31,EWBB_DC,2024-10-31,5.4,5.89,,Long,Open,6.14,2024-11-01,2040.816326530615,,,India
FDC.NS,2024-10-29,517.24,,Long,Open,2024-10-31,BBLR_W,2024-10-29,506.45,517.24,,Long,Open,546.55,2024-11-01,92.6784059314178,,,India
FIBERWEB.BO,2024-10-30,41.19,,Long,Open,2024-10-31,BB_DC,2024-10-30,36.46,41.19,,Long,Open,44.78,2024-11-01,211.41649048625808,,,India
FILATEX.NS,2024-10-30,52.93,,Long,Open,2024-10-31,ATR_BW,2024-10-30,50.5,52.93,,Long,Open,60.51,2024-11-01,411.522633744856,,,India
FORBESCO.BO,2024-10-31,643.32,,Long,Open,2024-10-31,EW_BW,2024-10-31,610.3,643.32,,Long,Open,661.6,2024-11-01,30.28467595396721,,,India
FOSECOIND.NS,2024-10-28,4271.29,,Long,Open,2024-10-31,BB_DC,2024-10-28,4207.05,4271.29,,Long,Open,4667.35,2024-11-01,15.566625155666303,,,India
FRASER.BO,2024-10-30,5.24,,Long,Open,2024-10-31,BB_UC,2024-10-30,4.82,5.24,,Long,Open,6.15,2024-11-01,2380.952380952381,,,India
GANGAPA.BO,2024-10-31,105.11,,Long,Open,2024-10-31,EW_DC,2024-10-31,100.0,105.11,,Long,Open,105.1,2024-11-01,195.69471624266143,,,India
GCMCAPI.BO,2024-10-31,6.3,,Long,Open,2024-10-31,EW_DC,2024-10-31,5.89,6.3,,Long,Open,6.28,2024-11-01,2439.024390243901,,,India
GEE.BO,2024-10-31,156.14,,Long,Open,2024-10-31,EW_DC,2024-10-31,148.0,156.14,,Long,Open,155.7,2024-11-01,122.85012285012306,,,India
GENSOL.BO,2024-10-31,759.54,,Long,Open,2024-10-31,EW_DC,2024-10-31,724.95,759.54,,Long,Open,815.5,2024-11-01,28.91008962127789,,,India
GILLANDERS.NS,2024-10-31,85.16,,Long,Open,2024-10-31,EW_DC,2024-10-31,80.2,85.16,,Long,Open,88.79,2024-11-01,201.61290322580672,,,India
GINISILK.BO,2024-10-31,112.23,,Long,Open,2024-10-31,EWBB_W,2024-10-31,103.85,112.23,,Long,Open,124.2,2024-11-01,119.33174224343662,,,India
GITARENEW.BO,2024-10-28,152.35,,Long,Open,2024-10-31,ATR_BW,2024-10-28,142.05,152.35,,Long,Open,183.4,2024-11-01,97.08737864077686,,,India
GLITTEKG.BO,2024-10-21,3.48,,Long,Open,2024-10-31,BB_DC,2024-10-21,3.37,3.48,,Long,Open,3.6,2024-11-01,9090.9090909091,,,India
GNRL.BO,2024-10-31,22.4,,Long,Open,2024-10-31,EW_DC,2024-10-31,21.01,22.4,,Long,Open,24.47,2024-11-01,719.4244604316563,,,India
GOKEX.NS,2024-10-31,869.82,,Long,Open,2024-10-31,EW_DC,2024-10-31,820.45,869.82,,Long,Open,896.45,2024-11-01,20.2552157180474,,,India
GOLDTECH.NS,2024-10-31,73.26,,Long,Open,2024-10-31,EW_DC,2024-10-31,61.75,73.26,,Long,Open,73.26,2024-11-01,86.8809730668983,,,India
GOODRICKE.BO,2024-10-24,249.2,,Long,Open,2024-10-31,ATRBB_W,2024-10-24,236.25,249.2,,Long,Open,306.5,2024-11-01,77.22007722007729,,,India
GRAVITA.NS,2024-10-31,2025.0,,Long,Open,2024-10-31,EW_DC,2024-10-31,1966.55,2025.0,,Long,Open,2119.8,2024-11-01,17.10863986313087,,,India
GRAVITY.BO,2024-10-29,4.26,,Long,Open,2024-10-31,BB_UC,2024-10-29,4.02,4.26,,Long,Open,6.07,2024-11-01,4166.666666666663,,,India
GRWRHITECH.BO,2024-10-29,3538.44,,Long,Open,2024-10-31,ATR_UC,2024-10-29,3466.1,3538.44,,Long,Open,4055.9,2024-11-01,13.823610727121896,,,India
GUJPETR.BO,2024-10-31,68.65,,Long,Open,2024-10-31,EW_W,2024-10-31,66.0,68.65,,Long,Open,72.16,2024-11-01,377.35849056603695,,,India
HBPOR.BO,2024-10-31,105.98,,Long,Open,2024-10-31,EWBB_DC,2024-10-31,98.15,105.98,,Long,Open,114.35,2024-11-01,127.71392081736911,,,India
HECPROJECT.NS,2024-10-29,98.65,,Long,Open,2024-10-31,BB_DC,2024-10-29,92.52,98.65,,Long,Open,125.79,2024-11-01,163.13213703099484,,,India
HIPOLIN.BO,2024-10-25,118.5,,Long,Open,2024-10-31,ATR_DC,2024-10-25,117.0,118.5,,Long,Open,137.0,2024-11-01,666.6666666666666,,,India
HMT.NS,2024-10-31,69.66,,Long,Open,2024-10-31,EW_DC,2024-10-31,65.2,69.66,,Long,Open,70.93,2024-11-01,224.2152466367716,,,India
IBINFO.BO,2024-10-31,154.1,,Long,Open,2024-10-31,ATREW_UC,2024-10-31,150.15,154.1,,Long,Open,169.8,2024-11-01,253.16455696202604,,,India
ICIL.NS,2024-10-28,358.4,,Long,Open,2024-10-31,BB_W,2024-10-28,352.95,358.4,,Long,Open,388.0,2024-11-01,183.4862385321105,,,India
ICRA.NS,2024-10-31,7047.55,,Long,Open,2024-10-31,EW_W,2024-10-31,6766.0,7047.55,,Long,Open,7196.95,2024-11-01,3.55176700408453,,,India
IDEA.NS,2024-10-31,7.83,,Long,Open,2024-10-31,EWBB_DC,2024-10-31,7.58,7.83,,Long,Open,8.12,2024-11-01,4000.0,,,India
IFINSEC.BO,2024-10-29,143.49,,Long,Open,2024-10-31,BB_W,2024-10-29,115.55,143.49,,Long,Open,149.9,2024-11-01,35.79098067287042,,,India
IIFL.NS,2024-10-28,401.33,,Long,Open,2024-10-31,BB_DC,2024-10-28,391.25,401.33,,Long,Open,436.8,2024-11-01,99.20634920634936,,,India
INCREDIBLE.BO,2024-10-31,41.4,,Long,Open,2024-10-31,EW_DC,2024-10-31,35.68,41.4,,Long,Open,41.3,2024-11-01,174.82517482517486,,,India
INDIANVSH.BO,2024-10-29,13.94,,Long,Open,2024-10-31,BB_W,2024-10-29,12.66,13.94,,Long,Open,15.55,2024-11-01,781.2500000000003,,,India
INDINFO.BO,2024-10-29,1.28,,Long,Open,2024-10-31,BB_W,2024-10-29,1.22,1.28,,Long,Open,1.46,2024-11-01,16666.666666666653,,,India
INDOCITY.BO,2024-10-24,14.05,,Long,Open,2024-10-31,LR_DC,2024-10-24,13.31,14.05,,Long,Open,15.69,2024-11-01,1351.351351351351,,,India
INDTONER.BO,2024-10-28,279.19,,Long,Open,2024-10-31,BBLR_DC,2024-10-28,277.15,279.19,,Long,Open,298.1,2024-11-01,490.19607843136765,,,India
INFORTEC.BO,2024-10-31,96.22,,Long,Open,2024-10-31,EW_DC,2024-10-31,90.0,96.22,,Long,Open,102.39,2024-11-01,160.77170418006435,,,India
INOVSYNTH.BO,2024-10-31,71.49,,Long,Open,2024-10-31,EW_BW,2024-10-31,69.75,71.49,,Long,Open,77.32,2024-11-01,574.7126436781626,,,India
INOXWIND.NS,2024-10-28,206.66,,Long,Open,2024-10-31,BB_DC,2024-10-28,197.27,206.66,,Long,Open,223.8,2024-11-01,106.4962726304581,,,India
