"Buy_DATE","Sell_Day","Call","Entry_Criteria","Stock","Buy_Qty","Buy_Price","Sell_Qty","Sell_Price","Stop_Loss","Target_Price","Duration"
"2024-01-29","2024-02-07",NULL,"D_EW","MOREPENLAB","385","46.00","385","56.00","43.00","56.00",11
"2024-01-29","2024-01-04",NULL,"D_EW","SUNTV","20","663.00","20","730.00","614.00","730.00",11
"2024-01-29","2024-02-08",NULL,"D_EW","WALCHANNAG","84","183.00","84","231.00","171.00","231.00",11
"2024-01-30","2024-02-05",NULL,"PR_EW","CTE","34","83.00","34","89.00","53.00","89.00",10
"2024-01-30","2024-02-08",NULL,"PR_EW","FSL","19","202.00","19","218.00","148.00","218.00",10
"2024-01-31","2024-02-01",NULL,"PR_EW","KPRMILL","17","790.00","17","798.00","732.00","798.00",9
"2023-11-29","2024-02-06",NULL,"W_EW","SONATSOFTW","15","629.00","15","832.00","695.00","832.00",75
"2023-12-21","2024-02-05",NULL,"EW_UC","BHEL","15","180.00","15","241.00","114.00","241.00",53
"2023-12-21","2024-02-06",NULL,"EW/ATR_UC","NATIONALUM","48","109.00","48","161.00","89.00","161.00",53
"2023-12-26","2024-02-08",NULL,"D_EW","ANUP","1","2639.00","1","3109.00","1928.00","3109.00",48
"2023-12-26","2024-02-07",NULL,"D_EW","BBTC","9","1367.00","9","1779.00","1259.00","1779.00",48
"2024-01-04","2024-02-07",NULL,"EW/ATR_BW","BBTC","3","1593.00","3","1779.00","1259.00","1779.00",39
"2024-01-09","2024-02-05",NULL,"D_EW","TOKYOPLAST","53","124.00","53","122.00","105.00","122.00",34
"2024-01-10","2024-01-31",NULL,"ATR/PR/EW_UC","COCHINSHIP","3","803.00","3","933.00","436.00","933.00",33
