Ticker,Last Alert Date,Buy Price,Target,Call,Status
BHAGCHEM.BO,2024-10-16,,375.09,Short,Close
BHAGERIA.NS,2024-10-08,214.38,,Long,Open
BHAGWOX.BO,2024-09-24,,62.12,Short,Close
BHAGYANGR.NS,2024-09-17,,109.26,Short,Close
BHANDARI.NS,2024-10-07,,6.47,Short,Close
BHARAT.BO,2024-09-20,,50.93,Short,Close
BHARATAGRI.BO,2024-07-31,,102.82,Short,Close
BHARATFORG.NS,2024-08-09,,1645.69,Short,Close
BHARATGEAR.NS,2024-10-15,,109.26,Short,Close
BHARATRAS.NS,2024-10-08,11015.75,,Long,Open
BHARATSE.BO,2024-10-10,,193.51,Short,Close
BHARATWIRE.NS,2024-10-09,,272.73,Short,Close
BHARTIARTL.NS,2024-10-07,1649.34,,Long,Open
BHASKAGR.BO,2024-10-18,,66.91,Short,Close
BHATIA.BO,2024-10-09,,32.23,Short,Close
BHEL.NS,2024-10-15,,271.39,Short,Close
BHILSPIN.BO,2024-09-13,,166.02,Short,Close
BI.BO,2024-10-15,,63.72,Short,Close
BIBCL.BO,2024-09-27,27.96,,Long,Open
BIGBLOC.NS,2024-10-15,,142.51,Short,Close
BIHSPONG.BO,2024-09-11,,25.48,Short,Close
BIL.NS,2024-10-16,,765.1,Short,Close
BIMETAL.BO,2024-10-17,,754.34,Short,Close
BIOCON.NS,2024-09-16,,391.21,Short,Close
BIOFILCHEM.NS,2024-10-15,73.0,,Long,Open
BIRLACABLE.NS,2024-08-21,,282.24,Short,Close
BIRLACORPN.NS,2024-09-05,,1362.22,Short,Close
BIRLAMONEY.NS,2024-10-08,132.56,,Long,Open
BIRLAPREC.BO,2024-08-23,,86.38,Short,Close
BITL.BO,2024-08-12,1.47,,Long,Open
BKMINDST.NS,2024-10-04,,1.72,Short,Close
BKV.BO,2024-10-18,14.28,,Long,Open
BLACKROSE.BO,2024-10-14,,144.29,Short,Close
BLBLIMITED.NS,2024-10-16,,22.35,Short,Close
BLIL.BO,2024-09-16,,99.27,Short,Close
BLISSGVS.NS,2024-10-18,,136.32,Short,Close
BLKASHYAP.NS,2024-10-08,87.87,,Long,Open
