Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-31,ALSTONE.BO,LR_DC,2024-10-24,0.62,0.7,,Short,Close,0.83,2024-11-01,12500.000000000005,,,India
2000-01-01,ALUFLUOR.BO,,2024-10-24,,354.47,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMAL.BO,,2024-10-29,,387.25,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMALGAM.BO,,2024-10-10,,,98.01,Short,Close,,2000-01-01,,,,India
2000-01-01,AMARJOTHI.BO,,2024-08-27,,,231.11,Short,Close,,2000-01-01,,,,India
2000-01-01,AMBALALSA.BO,,2024-10-28,,51.31,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMBER.NS,,2024-09-30,,4647.14,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMBICAAGAR.BO,,2024-10-30,,26.79,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMBIKCO.NS,,2024-09-17,,,1821.13,Short,Close,,2000-01-01,,,,India
2000-01-01,AMBITION.BO,,2024-08-22,,2.69,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMBUJACEM.NS,,2024-07-01,,,692.36,Short,Close,,2000-01-01,,,,India
2000-01-01,AMCOIND.BO,,2024-10-29,,88.14,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMDIND.NS,,2024-10-28,,60.53,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMFORG.BO,,2024-10-14,,,10.99,Short,Close,,2000-01-01,,,,India
2000-01-01,AMJLAND.NS,,2024-10-28,,46.45,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMNPLST.BO,,2024-10-29,,281.11,,Long,Open,,2000-01-01,,,,India
2024-10-31,AMRAAGRI.BO,ATREWBB_DT,2024-10-31,1.01,1.1,,Long,Open,1.2,2024-11-01,11111.1111111111,,,India
2024-10-31,AMRAPLIN.BO,ATR_UC,2024-10-24,14.55,15.27,,Long,Open,17.28,2024-11-01,1388.8888888888912,,,India
2000-01-01,AMRUTANJAN.NS,,2024-10-30,,723.0,,Long,Open,,2000-01-01,,,,India
2000-01-01,AMTL.BO,,2024-10-28,,34.15,,Long,Open,,2000-01-01,,,,India
2024-10-31,ANANTRAJ.NS,ATR_BW,2024-10-28,635.1,647.9,,Long,Open,740.8,2024-11-01,78.12500000000028,,,India
2000-01-01,ANDHRAPAP.NS,,2024-09-10,,,117.07,Short,Close,,2000-01-01,,,,India
2000-01-01,ANDHRAPET.BO,,2024-10-28,,81.93,,Long,Open,,2000-01-01,,,,India
2024-10-31,ANDHRSUGAR.NS,LR_DC,2024-10-28,92.45,93.44,,Long,Open,104.55,2024-11-01,1010.1010101010153,,,India
2000-01-01,ANDREWYU.BO,,2024-10-28,,38.31,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANERI.BO,,2024-09-30,,5.98,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANG.BO,,2024-10-30,,46.4,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANGELONE.NS,,2024-10-28,,2842.73,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANIKINDS.NS,,2024-10-24,,77.32,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANJANI.BO,,2024-10-30,,45.64,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANJANIFIN.BO,,2024-10-23,,12.89,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANJANIFOODS.BO,,2024-10-28,,34.1,,Long,Open,,2000-01-01,,,,India
2000-01-01,ANKIN.BO,,2024-10-25,,13.17,,Long,Open,,2000-01-01,,,,India
2024-10-31,ANKITMETAL.NS,EW_BW,2024-10-31,3.35,3.43,,Long,Open,3.66,2024-11-01,12499.999999999989,,,India
