Ticker,Last Alert Date,Buy Price,Target,Call,Status
BANARISUG.NS,2024-12-18,3558.8,,Long,Open
BANASFN.BO,2024-12-09,10.91,,Long,Open
BANCOINDIA.NS,2025-01-09,,491.26,Short,Close
BANDHANBNK.NS,2024-12-04,,177.78,Short,Close
BANG.NS,2024-12-20,,87.61,Short,Close
BANKA.NS,2024-12-11,,114.06,Short,Close
BANKBARODA.NS,2024-12-06,,264.71,Short,Close
BANKBEES.BO,2024-12-06,,550.71,Short,Close
BANKINDIA.NS,2024-12-05,,118.68,Short,Close
BANSTEA.BO,2024-10-01,,8.9,Short,Close
BANSWRAS.NS,2024-12-17,,174.35,Short,Close
BAPACK.BO,2025-01-08,,353.95,Short,Close
BARBEQUE.BO,2024-11-06,,572.4,Short,Close
BAROEXT.BO,2025-01-08,8.43,,Long,Open
BASANTGL.BO,2024-12-05,,19.98,Short,Close
BASF.NS,2024-11-29,,5993.14,Short,Close
BASML.NS,2025-01-03,,58.01,Short,Close
BATAINDIA.NS,2025-01-03,,1452.46,Short,Close
BATLIBOI.BO,2024-12-30,,139.81,Short,Close
BAYERCROP.BO,2024-12-11,,6307.14,Short,Close
BAYERCROP.NS,2024-08-21,6291.4,,Long,Open
BAZELINTER.BO,2025-01-08,,97.41,Short,Close
BBL.NS,2025-01-14,3229.82,,Long,Open
BBOX.NS,2025-01-08,,664.85,Short,Close
BBTC.NS,2024-11-06,,2799.89,Short,Close
BBTCL.NS,2024-12-06,,222.89,Short,Close
BCCFUBA.BO,2025-01-08,,161.34,Short,Close
BCG.NS,2024-11-25,8.1,,Long,Open
BCLENTERPR.BO,2024-12-16,0.99,,Short,Close
BCLIND.NS,2024-11-28,,57.76,Short,Close
BCONCEPTS.NS,2025-01-01,,494.19,Short,Close
BCP.BO,2024-12-06,,4.82,Short,Close
BDH.BO,2024-11-25,,396.13,Short,Close
BDL.NS,2025-01-09,,1203.03,Short,Close
BEARDSELL.NS,2025-01-09,,40.7,Short,Close
BECTORFOOD.NS,2024-12-11,1800.21,,Long,Open
BEDMUTHA.NS,2024-12-12,,223.75,Short,Close
BEEKAY.BO,2024-12-12,,714.5,Short,Close
BEL.NS,2024-12-16,,316.51,Short,Close
BELLACASA.BO,2025-01-08,,578.34,Short,Close
BEMHY.BO,2024-12-03,1285.39,,Long,Open
BEML.NS,2024-12-12,,4493.26,Short,Close
BENARA.BO,2025-01-03,,23.06,Short,Close
BENARAS.BO,2024-12-16,,8435.42,Short,Close
BENGALASM.BO,2024-12-04,,9779.0,Short,Close
BENGALT.BO,2024-12-18,177.45,,Long,Open
BEPL.NS,2024-12-17,,155.1,Short,Close
BERGEPAINT.NS,2024-12-31,445.98,,Long,Open
BERLDRG.BO,2025-01-03,36.31,,Long,Open
BERVINL.BO,2025-01-10,,81.45,Short,Close
BERYLSE.BO,2025-01-13,33.17,,Long,Open
BESTAGRO.BO,2024-12-17,,655.5,Short,Close
BESTEAST.BO,2025-01-03,,18.78,Short,Close
BETXIND.BO,2025-01-14,456.28,,Long,Open
BFFL.BO,2025-01-08,47.75,,Long,Open
BFINVEST.NS,2024-11-11,,804.97,Short,Close
BFLAFL.BO,2025-01-08,,24.15,Short,Close
BFUTILITIE.NS,2024-12-19,,1057.53,Short,Close
BGJL.BO,2024-12-03,,16.12,Short,Close
BGRENERGY.NS,2024-11-22,35.49,,Long,Open
BGWTATO.BO,2025-01-09,,476.68,Short,Close
BHAGCHEM.BO,2024-12-06,,351.13,Short,Close
BHAGERIA.NS,2025-01-03,,209.5,Short,Close
BHAGWOX.BO,2025-01-08,,69.26,Short,Close
BHAGYANGR.NS,2024-12-09,,108.83,Short,Close
BHANDARI.NS,2024-12-02,,8.34,Short,Close
BHARAT.BO,2024-12-27,,72.89,Short,Close
BHARATAGRI.BO,2024-12-09,,83.25,Short,Close
BHARATFORG.NS,2024-12-11,,1374.74,Short,Close
BHARATGEAR.NS,2024-12-09,,106.98,Short,Close
BHARATRAS.NS,2024-11-27,,12097.83,Short,Close
BHARATSE.BO,2025-01-03,,102.55,Short,Close
BHARATWIRE.NS,2024-12-11,,242.98,Short,Close
BHARTIARTL.NS,2024-12-13,,1665.45,Short,Close
BHASKAGR.BO,2025-01-14,81.59,,Long,Open
BHATIA.BO,2025-01-03,,30.03,Short,Close
BHEL.NS,2024-12-11,,252.95,Short,Close
BHILSPIN.BO,2025-01-06,,164.09,Short,Close
BI.BO,2025-01-08,,90.26,Short,Close
BIBCL.BO,2025-01-07,,34.91,Short,Close
BIGBLOC.NS,2024-12-31,102.16,,Long,Open
BIHSPONG.BO,2025-01-02,,17.47,Short,Close
BIL.NS,2025-01-08,,811.38,Short,Close
BIMETAL.BO,2024-12-31,,686.0,Short,Close
BIOCON.NS,2025-01-13,364.71,,Long,Open
BIOFILCHEM.NS,2025-01-02,,62.11,Short,Close
BIOGEN.BO,2025-01-14,1.06,,Long,Open
BIRLACABLE.NS,2024-12-10,,241.12,Short,Close
BIRLACORPN.NS,2024-12-11,,1314.24,Short,Close
BIRLAMONEY.NS,2025-01-03,239.19,,Long,Open
BIRLAPREC.BO,2025-01-01,,65.01,Short,Close
BITL.BO,2024-08-12,1.47,,Long,Open
BKMINDST.NS,2024-11-04,38.88,,Long,Open
BKV.BO,2025-01-03,,14.86,Short,Close
BLACKROSE.BO,2024-12-06,,134.91,Short,Close
