Date/Time,Ticker,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,ERIS.NS,,ATR,BB,,,ZZ,1473.75,0.0,31.0,0.0,0.0,1344.89,1390.35,1435.81,,3525.0,_DC,100.0,1.0,,19.0,19.0,1489.0,1213.05,,ATRBB_DC,1442.1500244140625,4.0,-0.02144188334923664
2024-11-25,EROSMEDIA.NS,,,BB,,,,14.74,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,24.6,14.2,,BB_DC,15.520000457763672,1852.0,0.05291726307758966
2024-11-25,ESCORTS.NS,,,BB,,,,3615.5,,,5.0,5.0,,,,,3525.0,_W,100.0,1.0,,,,4420.0,3346.0,,BB_W,3546.550048828125,4.0,-0.019070654452185035
2024-11-25,FORCEMOT.BO,,,,EW,,,6957.0,,,4.0,,,,,,3525.0,_UC,100.0,1.0,6521.2,,,8088.05,6150.35,,EW_UC,6969.5498046875,1.0,0.0018039104049877822
2024-11-25,FORINTL.BO,,,,EW,,,78.0,,,,4.0,,,,,3525.0,_W,100.0,1.0,74.04,,,132.65,72.0,,EW_W,89.97000122070312,167.0,0.15346155411157852
2024-11-25,FORTISMLR.BO,,,BB,,,,54.03,,,5.0,5.0,,,,,3525.0,_W,100.0,1.0,,,,67.7,51.01,,BB_W,54.380001068115234,331.0,0.006477902426711701
2024-11-25,FREDUN.BO,,,,EW,,,708.0,,,1.0,1.0,,,,,3525.0,_BW,100.0,1.0,655.0,,,799.9,655.0,,EW_BW,720.0,19.0,0.01694915254237288
2024-11-25,GAGAN.BO,,,BB,,,,23.4,,,5.0,4.0,,,,,3525.0,_W,100.0,1.0,,,,28.59,20.17,,BB_W,22.760000228881836,310.0,-0.02735041756915225
2024-11-25,GALAXYSURF.NS,,ATR,,,,ZZ,2871.6,0.0,10.0,0.0,1.0,2752.38,2843.99,2935.59,,3525.0,_DC,100.0,1.0,,3.0,3.0,3370.0,2615.0,,ATR_DC,2818.5,4.0,-0.018491433347262817
2024-11-25,GANGAFORGE.NS,,,BB,,,,7.17,,,2.0,4.0,,,,,3525.0,_W,100.0,1.0,,,,8.5,6.15,,BB_W,7.199999809265137,980.0,0.00418407381661601
