Ticker,Last Alert Date,Buy Price,Target,Call,Status
CARNATIN.BO,2024-09-02,6.26,,Long,Open
CARYSIL.NS,2024-10-30,778.21,,Long,Open
CASTROLIND.NS,2024-08-27,,279.06,Short,Close
CATVISION.BO,2024-10-30,24.84,,Long,Open
CCHHL.NS,2024-10-29,18.31,,Long,Open
CCL.NS,2024-09-20,,762.14,Short,Close
CCLINTER.BO,2024-10-28,30.68,,Long,Open
CDSL.NS,2024-10-28,1470.79,,Long,Open
CEATLTD.NS,2024-09-27,,3228.95,Short,Close
CEEJAY.BO,2024-10-28,236.5,,Long,Open
CEENIK.BO,2024-06-28,721.49,,Long,Open
CEETAIN.BO,2024-10-28,44.86,,Long,Open
CEINSYSTECH.BO,2024-10-23,1054.47,,Long,Open
CELEBRITY.NS,2024-10-28,14.48,,Long,Open
CENLUB.BO,2024-10-10,,641.75,Short,Close
CENTENKA.NS,2024-10-28,549.9,,Long,Open
CENTEXT.NS,2024-10-28,21.61,,Long,Open
CENTRALBK.NS,2024-10-28,50.89,,Long,Open
CENTRUM.NS,2024-10-28,31.29,,Long,Open
CENTUM.NS,2024-10-18,,1876.81,Short,Close
