Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
GSS.NS,12/5/2024,68.03,4.00,0.00,21.00,4.00,69.33,68.12,66.92,1
GTNTEX.BO,12/5/2024,12.65,25.00,0.00,47.00,25.00,13.03,12.70,12.36,1
GSPL.NS,12/5/2024,375.70,11.00,0.00,44.00,11.00,376.61,371.10,365.59,1
GSFC.NS,12/5/2024,223.06,10.00,0.00,18.00,10.00,238.70,233.04,227.39,1
GTL.NS,12/5/2024,13.04,9.00,0.00,22.00,9.00,14.20,13.57,12.93,1
GUFICBIO.NS,12/5/2024,446.40,9.00,0.00,17.00,9.00,459.38,441.27,423.17,1
GUJCRAFT.BO,12/5/2024,118.00,12.00,0.00,22.00,12.00,118.08,112.00,105.92,1
GUJAPOLLO.NS,12/5/2024,341.80,12.00,0.00,18.00,12.00,338.00,326.71,315.41,1
GUJCOTEX.BO,12/5/2024,13.68,7.00,0.00,13.00,7.00,14.03,13.13,12.22,1
GUJALKALI.NS,12/5/2024,794.05,10.00,0.00,19.00,10.00,806.94,800.61,794.28,1
GUJGASLTD.NS,12/5/2024,502.15,10.00,0.00,18.00,10.00,508.01,500.46,492.90,1
GUJINTRX.BO,12/5/2024,475.70,4.00,0.00,17.00,4.00,551.69,523.42,495.16,1
GUJHOTE.BO,12/5/2024,218.25,14.00,0.00,19.00,14.00,231.82,225.66,219.50,1
GUJTLRM.BO,12/5/2024,13.98,4.00,0.00,6.00,4.00,15.05,14.98,14.91,1
GUJRAFFIA.NS,12/5/2024,50.82,12.00,0.00,22.00,12.00,51.24,48.48,45.72,1
GYANDEV.BO,12/4/2024,24.70,6.00,0.00,10.00,6.00,24.68,24.03,23.38,1
GUJTHEM.BO,12/5/2024,337.25,13.00,0.00,19.00,13.00,359.39,344.04,328.68,1
GULFOILLUB.NS,12/5/2024,1167.00,9.00,0.00,19.00,9.00,1203.66,1172.55,1141.45,1
HAPPSTMNDS.NS,12/5/2024,760.50,9.00,0.00,56.00,9.00,784.05,763.41,742.78,1
HARDCAS.BO,12/5/2024,889.20,9.00,0.00,17.00,9.00,947.67,916.76,885.85,1
HALDYNGL.BO,12/5/2024,164.15,4.00,0.00,15.00,4.00,169.51,165.06,160.61,1
HAL.NS,12/5/2024,4568.85,10.00,0.00,16.00,10.00,4814.48,4640.87,4467.27,1
GULFPETRO.NS,12/5/2024,61.79,9.00,0.00,19.00,9.00,65.24,63.15,61.05,1
HARLETH.BO,12/5/2024,88.35,11.00,0.00,22.00,11.00,90.42,88.32,86.22,1
HARIAEXPO.BO,12/5/2024,6.65,9.00,0.00,11.00,9.00,7.14,6.85,6.55,1
