Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target,Last Alert Date
2025-01-15,EW_DC,Long,BFUTILITIE.NS,869.0,803.0,15.15,15.15,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,BHANDARI.NS,7.0,6.06,1063.83,1063.83,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,BHARATRAS.NS,10020.0,9223.2,1.26,1.26,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,BHARATSE.BO,89.0,84.7,232.56,232.56,,,,,KRBPT,,,102.55,2025-01-03
2025-01-15,BB_DC,Long,BIOGEN.BO,1.18,1.03,6666.67,6666.67,,,,,KRBPT,,,,2025-01-14
2025-01-15,EW_DC,Long,BIRLAPREC.BO,58.0,52.0,166.67,166.67,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,BLUECLOUDS.BO,87.63,83.61,248.76,248.76,,,,,KRBPT,,,103.96,2025-01-08
2025-01-15,ATR_DC,Long,BSE.NS,5786.0,5023.1,1.31,1.31,,,,,KRBPT,,,,2025-01-13
2025-01-15,EW_W,Long,BTTL.BO,48.0,41.56,155.28,155.28,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,BVCL.NS,47.0,43.0,250.0,250.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,CAPPIPES.BO,18.0,14.01,250.63,250.63,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,CARYSIL.NS,736.0,660.0,13.16,13.16,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_W,Long,CHOICEIN.BO,531.0,493.6,26.74,26.74,,,,,KRBPT,,,,2025-01-15
